year,popularity
2004-01,5
2004-02,3
2004-03,3
2004-04,4
2004-05,4
2004-06,4
2004-07,4
2004-08,5
2004-09,4
2004-10,4
2004-11,4
2004-12,3
2005-01,3
2005-02,3
2005-03,3
2005-04,3
2005-05,3
2005-06,3
2005-07,4
2005-08,4
2005-09,3
2005-10,3
2005-11,3
2005-12,3
2006-01,3
2006-02,3
2006-03,3
2006-04,4
2006-05,3
2006-06,3
2006-07,3
2006-08,3
2006-09,3
2006-10,3
2006-11,3
2006-12,3
2007-01,3
2007-02,3
2007-03,3
2007-04,3
2007-05,3
2007-06,3
2007-07,3
2007-08,3
2007-09,2
2007-10,2
2007-11,2
2007-12,2
2008-01,2
2008-02,2
2008-03,2
2008-04,2
2008-05,3
2008-06,3
2008-07,3
2008-08,3
2008-09,3
2008-10,3
2008-11,3
2008-12,3
2009-01,3
2009-02,3
2009-03,3
2009-04,4
2009-05,4
2009-06,5
2009-07,6
2009-08,6
2009-09,7
2009-10,6
2009-11,8
2009-12,8
2010-01,8
2010-02,9
2010-03,10
2010-04,11
2010-05,11
2010-06,14
2010-07,15
2010-08,15
2010-09,16
2010-10,17
2010-11,17
2010-12,19
2011-01,20
2011-02,19
2011-03,19
2011-04,24
2011-05,25
2011-06,28
2011-07,30
2011-08,34
2011-09,31
2011-10,34
2011-11,33
2011-12,37
2012-01,37
2012-02,34
2012-03,38
2012-04,40
2012-05,39
2012-06,41
2012-07,44
2012-08,47
2012-09,47
2012-10,42
2012-11,47
2012-12,45
2013-01,40
2013-02,40
2013-03,40
2013-04,41
2013-05,40
2013-06,42
2013-07,44
2013-08,44
2013-09,38
2013-10,40
2013-11,41
2013-12,40
2014-01,40
2014-02,39
2014-03,39
2014-04,41
2014-05,41
2014-06,41
2014-07,43
2014-08,46
2014-09,48
2014-10,42
2014-11,44
2014-12,45
2015-01,45
2015-02,40
2015-03,43
2015-04,44
2015-05,45
2015-06,48
2015-07,53
2015-08,50
2015-09,49
2015-10,46
2015-11,46
2015-12,52
2016-01,48
2016-02,48
2016-03,49
2016-04,52
2016-05,52
2016-06,56
2016-07,54
2016-08,49
2016-09,48
2016-10,51
2016-11,52
2016-12,62
2017-01,61
2017-02,58
2017-03,59
2017-04,61
2017-05,55
2017-06,56
2017-07,61
2017-08,57
2017-09,54
2017-10,52
2017-11,51
2017-12,71
2018-01,63
2018-02,61
2018-03,59
2018-04,61
2018-05,59
2018-06,61
2018-07,63
2018-08,62
2018-09,56
2018-10,51
2018-11,54
2018-12,60
2019-01,60
2019-02,56
2019-03,65
2019-04,58
2019-05,58
2019-06,63
2019-07,64
2019-08,63
2019-09,56
2019-10,62
2019-11,63
2019-12,66
2020-01,58
2020-02,52
2020-03,57
2020-04,69
2020-05,77
2020-06,90
2020-07,81
2020-08,87
2020-09,83
2020-10,79
2020-11,76
2020-12,85
2021-01,81
2021-02,78
2021-03,77
2021-04,77
2021-05,78
2021-06,82
2021-07,89
2021-08,86
2021-09,79
2021-10,77
2021-11,78
2021-12,87
2022-01,87
2022-02,89
2022-03,84
2022-04,86
2022-05,87
2022-06,86
2022-07,95
2022-08,92
2022-09,90
2022-10,73
2022-11,74
2022-12,79
2023-01,84
2023-02,82
2023-03,77
2023-04,100
2023-05,87
2023-06,89
2023-07,91
2023-08,85
2023-09,72
2023-10,70
2023-11,68
2023-12,75
2024-01,73
2024-02,66
2024-03,69
2024-04,73
2024-05,
2024-06,
2024-07,
2024-08,
2024-09,
2024-10,
2024-11,
2024-12,